Product Name,Other,Barcode,Case Barcode,Inner Quantity,Case Quantity,Pallet Case Quantity,Cases Per Layer,Languages,Country Of Origin,Tariff Code,Expiry Date,Pricecheck SKU,Piece Price (Excl. VAT),VAT,,Image URL
NUXE PRODIGIEUSE BOOST 40ML SILK CREAM NORMAL & DRY SKIN,VAT:,3264680015847,,1,54,18,6,"EN, DE, FR, NL",France,33049900,,COSNUX076,Please login for prices,20%,Piece Price (Excl. VAT):,
NUXE 30ML 48HR MOISTURISING RICH CREAM,VAT:,3264680028854,,1,1,27,9,"EN, DE, ES, FR, IT, NL, PT",France,33049900,,COSNUX078,Please login for prices,20%,Piece Price (Excl. VAT):,
CHRISTMAS WRAPPING PAPER 4M RED & WHITE (3 DESIGNS),VAT:,5012213566049,5012213566216,1,50,36,18,EN,China,48119000,,FACHR070,Please login for prices,20%,,
CHRISTMAS WRAPPING PAPER 4M SANTA & FRIENDS (4 DESIGNS),VAT:,5012213566087,05012213566254,1,50,36,18,EN,United Kingdom,48119000,,FACHR071,Please login for prices,20%,,
CHRISTMAS BOTTLE BAG SNOWMAN,VAT:,5012213567954,05012213568456,6,48,84,12,EN,China,48194000,,FACHR072,Please login for prices,20%,,
CHRISTMAS GIFT BAG SNOWMAN MEDIUM,VAT:,5012213567947,05012213568449,6,48,90,15,EN,China,48194000,,FACHR073,Please login for prices,20%,,
BEN'S ORIGINAL 220G MICROWAVE RICE WHOLEGRAIN,Expiry Date:,5010034015098,5010034015104,1,6,294,42,EN,United Kingdom,10062017,"Apr 9, 2025",FOBEN004,Please login for prices,,,
BEN'S ORIGINAL 220G MICROWAVE RICE PILAU,Expiry Date:,5010034013810,5010034013841,1,6,294,42,EN,United Kingdom,10062017,"Apr 17, 2025",FOBEN005,Please login for prices,,,
HILL BISCUITS 300G DIGESTIVES,Expiry Date:,5010282015895,5010282015901,1,24,90,15,EN,United Kingdom,19053199,"Mar 22, 2025",FOHIL011,Please login for prices,,,
TIDYZ CAT LITTER TRAY LINERS 12'S,VAT:,5025364003677,5025364013676,1,24,162,18,EN,Vietnam,39232100,,PETID005,Please login for prices,20%,,
