2024-08-14 18:35:33.887 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'GILLETTE VENUS SMOOTH RAZOR 2UP', 'pricecheck_sku': 'TOGVE215', 'barcode': '8001090585752', 'case_barcode': '8001090585684', 'inner_quantity': '1', 'case_quantity': '6', 'pallet_case_quantity': '170', 'cases_per_layer': '34', 'languages': 'EN, AT, CH, DE, ES, FI, FR, IT, NO, PT, SE', 'country_of_origin': 'Germany', 'tariff_code': '82122000', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:33.889 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/airways-menthol-46s-2-50-foair002
2024-08-14 18:35:35.798 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': "AIRWAYS MENTHOL 46'S PMP £2.50", 'pricecheck_sku': 'FOAIR002', 'barcode': '4009900550741', 'case_barcode': '45032851000505', 'inner_quantity': '6', 'case_quantity': '144', 'pallet_case_quantity': '30', 'cases_per_layer': '6', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '17041010', 'expiry_date': 'Sep 19, 2025', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:35.798 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/doritos-180g-tortilla-chilli-fodor009
2024-08-14 18:35:42.928 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'DORITOS 180G TORTILLA CHIPS CHILLI HEATWAVE', 'pricecheck_sku': 'FODOR009', 'barcode': '5000328741901', 'case_barcode': '5000328741918', 'inner_quantity': '1', 'case_quantity': '12', 'pallet_case_quantity': '30', 'cases_per_layer': '10', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '19059055', 'expiry_date': 'Dec 8, 2024', 'vat': '0%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:42.928 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/doritos-180g-tortilla-tangy-fodor011
2024-08-14 18:35:46.832 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'DORITOS 180G TORTILLA CHIPS TANGY CHEESE', 'pricecheck_sku': 'FODOR011', 'barcode': '5000328741314', 'case_barcode': '05000328741321', 'inner_quantity': '1', 'case_quantity': '12', 'pallet_case_quantity': '30', 'cases_per_layer': '10', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '19059055', 'expiry_date': 'Dec 14, 2024', 'vat': '0%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:46.834 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/kit-kat-chunky-42g-crunchy-75p-fokit072
2024-08-14 18:35:49.058 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'KIT KAT CHUNKY 42G CRUNCHY DOUBLE CHOCOLATE PMP 75P', 'pricecheck_sku': 'FOKIT072', 'barcode': '3800020492536', 'case_barcode': '3800020446355', 'inner_quantity': '1', 'case_quantity': '24', 'pallet_case_quantity': '444', 'cases_per_layer': '37', 'languages': 'EN', 'country_of_origin': 'United Kingdom', 'tariff_code': '19053211', 'expiry_date': 'Feb 28, 2025', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
2024-08-14 18:35:49.058 | INFO     | src.scraper:scrape_product:26 - Scraping product page: https://pricecheck.uk.com/products/skittles-318g-more-share-pouch-foski057
2024-08-14 18:35:51.122 | DEBUG    | src.scraper:scrape_product:51 - Scraped product info: {'product_name': 'SKITTLES 318G MORE TO SHARE POUCH', 'pricecheck_sku': 'FOSKI057', 'barcode': '4009900546225', 'case_barcode': '4009900546232', 'inner_quantity': '1', 'case_quantity': '10', 'pallet_case_quantity': '128', 'cases_per_layer': '16', 'languages': 'EN', 'country_of_origin': 'Czechia', 'tariff_code': '17049065', 'expiry_date': 'May 12, 2026', 'vat': '20%', 'piece_price_(excl._vat)': 'Please login for prices'}
